nflId,height,weight,birthDate,collegeName,position,displayName
25511,4-Jun,225,8/3/1977,Michigan,QB,Tom Brady
29550,4-Jun,328,1/22/1982,Arkansas,T,Jason Peters
29851,2-Jun,225,12/2/1983,California,QB,Aaron Rodgers
30842,6-Jun,267,5/19/1984,UCLA,TE,Marcedes Lewis
33084,4-Jun,217,5/17/1985,Boston College,QB,Matt Ryan
33099,6-Jun,245,1/16/1985,Delaware,QB,Joe Flacco
33107,4-Jun,315,8/30/1985,Virginia Tech,T,Duane Brown
33130,10-May,175,12/1/1986,California,WR,DeSean Jackson
33131,8-Jun,300,9/1/1986,Miami,DE,Calais Campbell
33138,3-Jun,222,7/2/1985,Michigan,QB,Chad Henne
34452,3-Jun,220,2/7/1988,Georgia,QB,Matthew Stafford
34754,Jun-00,229,10/7/1986,Missouri,QB,Chase Daniel
34843,2-Jun,215,10/13/1985,Michigan State,QB,Brian Hoyer
35443,5-Jun,320,7/19/1988,Oklahoma,T,Trent Williams
35449,3-Jun,304,5/12/1987,California,DT,Tyson Alualu
35452,2-Jun,265,4/3/1988,Michigan,DE,Brandon Graham
35454,5-Jun,275,1/1/1989,South Florida,DE,Jason Pierre-Paul
35459,10-May,185,4/10/1988,Alabama,SS,Kareem Jackson
35466,10-May,195,8/13/1987,Rutgers,FS,Devin McCourty
35470,2-Jun,254,8/13/1988,Texas Christian,DE,Jerry Hughes
35472,5-Jun,325,6/6/1988,Indiana,G,Rodger Saffold
35493,6-Jun,285,2/28/1989,Florida,OLB,Carlos Dunlap
35522,3-Jun,335,6/8/1988,Kentucky,DT,Corey Peters
35562,4-Jun,330,3/25/1987,Louisiana State,DT,Al Woods
36785,8-Jun,330,10/27/1985,Texas State,T,Ty Nsekhe
37075,3-Jun,250,3/26/1989,Texas A&amp;M,OLB,Von Miller
37077,4-Jun,210,7/31/1988,Georgia,WR,A.J. Green
37078,1-Jun,203,7/11/1990,Louisiana State,CB,Patrick Peterson
37079,3-Jun,220,2/8/1989,Alabama,WR,Julio Jones
37084,5-Jun,288,3/22/1989,Wisconsin,DE,J.J. Watt
37087,4-Jun,257,5/18/1990,North Carolina,OLB,Robert Quinn
37097,4-Jun,287,7/10/1989,California,DE,Cameron Jordan
37101,9-May,215,12/21/1989,Alabama,RB,Mark Ingram
37104,5-Jun,295,5/6/1989,Ohio State,DT,Cameron Heyward
37110,2-Jun,220,10/29/1987,Texas Christian,QB,Andy Dalton
37118,6-Jun,265,11/9/1989,Notre Dame,TE,Kyle Rudolph
37130,2-Jun,315,7/12/1989,Florida State,C,Rodney Hudson
37139,10-May,192,8/22/1990,Kentucky,WR,Randall Cobb
37145,3-Jun,270,1/21/1989,Georgia,OLB,Justin Houston
37213,6-Jun,335,5/6/1988,Texas Christian,T,Marcus Cannon
37255,1-Jun,215,8/3/1989,Virginia Tech,QB,Tyrod Taylor
37266,3-Jun,295,11/5/1987,Cincinnati,C,Jason Kelce
37308,4-Jun,315,3/17/1990,Arizona State,DT,Lawrence Guy
37724,10-May,199,6/18/1989,Kansas,CB,Chris Harris
37778,1-Jun,235,8/24/1989,Auburn,MLB,Josh Bynes
37792,1-Jun,250,5/12/1989,Central Michigan,MLB,Nick Bellore
37841,3-Jun,260,9/6/1987,Troy,DE,Mario Addison
38538,4-Jun,207,7/27/1988,Texas A&amp;M,QB,Ryan Tannehill
38540,1-Jun,202,9/19/1990,South Carolina,CB,Stephon Gilmore
38542,4-Jun,310,12/13/1990,Mississippi State,DT,Fletcher Cox
38544,5-Jun,305,12/21/1990,Louisiana State,DE,Michael Brockers
38545,3-Jun,250,11/1/1987,West Virginia,OLB,Bruce Irvin
38548,2-Jun,247,4/26/1989,South Carolina,OLB,Melvin Ingram
38551,5-Jun,265,2/27/1990,Syracuse,DE,Chandler Jones
38553,6-Jun,305,12/1/1988,Iowa,T,Riley Reiff
38557,4-Jun,315,3/8/1990,Wisconsin,G,Kevin Zeitler
38559,2-Jun,214,2/2/1989,Notre Dame,SS,Harrison Smith
38577,Jun-00,242,6/27/1990,Utah State,MLB,Bobby Wagner
38588,1-Jun,233,1/23/1990,Nebraska,MLB,Lavonte David
38589,3-Jun,279,6/30/1988,Marshall,DE,Vinny Curry
38592,11-May,192,9/9/1989,Vanderbilt,CB,Casey Hayward
38605,11-May,215,11/29/1988,Wisconsin,QB,Russell Wilson
38607,2-Jun,248,1/11/1989,Arkansas State,MLB,Demario Davis
38618,6-Jun,243,1/20/1989,Arizona,QB,Nick Foles
38619,4-Jun,352,11/16/1989,"Regina, Can.",DT,Akiem Hicks
38629,3-Jun,308,7/2/1989,Georgia,C,Ben Jones
38632,3-Jun,202,8/19/1988,Michigan State,QB,Kirk Cousins
38683,8-Jun,321,1/16/1990,Purdue,T,Dennis Kelly
38696,2-Jun,198,3/12/1990,California,WR,Marvin Jones
38707,Jun-00,200,6/17/1990,Presbyterian,FS,Justin Bethel
38779,3-Jun,308,6/8/1989,Southern Methodist,T,Kelvin Beachum
38843,10-May,195,6/23/1990,Virginia,FS,Rodney McLeod
38852,11-May,195,3/17/1990,Stanford,SS,Michael Thomas
38868,1-Jun,212,8/7/1990,Wyoming,FS,Tashaun Gipson
38937,1-Jun,215,2/17/1988,Houston,QB,Case Keenum
38947,8-May,174,4/26/1989,Southern Methodist,WR,Cole Beasley
39212,11-May,220,1/26/1990,Mississippi,RB,Brandon Bolden
39646,3-Jun,225,4/13/1991,Baylor,WR,Josh Gordon
39684,3-Jun,305,2/26/1990,Pennsylvania,G,Greg Van Roten
39908,2-Jun,220,4/2/1990,"California, Pa.",FS,Erik Harris
39941,10-May,207,2/26/1990,Southern Methodist,FS,Chris Banjo
39950,6-Jun,317,5/8/1990,Oklahoma,T,Lane Johnson
39965,5-Jun,311,8/15/1990,Syracuse,G,Justin Pugh
39973,1-Jun,212,6/6/1992,Clemson,WR,DeAndre Hopkins
39975,2-Jun,238,3/17/1991,Tennessee,RB,Cordarrelle Patterson
39983,5-Jun,250,11/10/1990,Stanford,TE,Zach Ertz
39984,Jun-00,190,1/1/1991,Mississippi State,CB,Darius Slay
39987,3-Jun,221,10/10/1990,West Virginia,QB,Geno Smith
39989,Jun-00,193,4/10/1992,Southern California,WR,Robert Woods
39997,3-Jun,340,3/30/1992,Ohio State,DT,Johnathan Hankins
39998,1-Jun,245,5/5/1991,Florida,OLB,Jon Bostic
40000,3-Jun,255,10/20/1989,Southern Mississippi,OLB,Jamie Collins
40011,5-Jun,260,10/5/1989,Cincinnati,TE,Travis Kelce
40017,9-May,190,5/13/1992,Louisiana State,FS,Tyrann Mathieu
40023,5-Jun,304,7/23/1991,Arkansas-Pine Bluff,T,Terron Armstead
40024,2-Jun,211,4/27/1992,California,WR,Keenan Allen
40026,9-May,179,11/19/1990,Texas,WR,Marquise Goodwin
40030,3-Jun,327,7/11/1989,Georgia,DT,John Jenkins
40031,11-May,195,2/9/1991,Rutgers,FS,Logan Ryan
40039,1-Jun,205,1/24/1991,Rutgers,SS,Duron Harmon
40048,1-Jun,307,11/29/1991,Illinois,DT,Akeem Spence
40057,4-Jun,310,9/30/1991,Colorado,T,David Bakhtiari
40074,6-Jun,281,7/31/1991,Michigan State,DE,William Gholston
40078,1-Jun,240,4/23/1991,Harvard,FB,Kyle Juszczyk
40089,5-Jun,315,6/5/1991,Virginia,G,Oday Aboushi
40095,3-Jun,263,9/16/1990,Buffalo,OLB,Steven Means
40096,1-Jun,240,7/30/1991,Iowa State,OLB,A.J. Klein
40107,Jun-00,197,12/31/1990,Iowa,FS,Micah Hyde
40124,5-Jun,310,8/24/1990,San Jose State,G,David Quessenberry
40129,3-Jun,230,1/18/1990,Central Florida,RB,Latavius Murray
40138,10-May,215,7/2/1990,Nebraska,RB,Rex Burkhead
40149,6-Jun,255,1/11/1990,Connecticut,TE,Ryan Griffin
40166,Jun-00,191,4/25/1991,Oregon State,SS,Jordan Poyer
40171,4-Jun,309,2/21/1990,Samford,DT,Nicholas Williams
40347,3-Jun,328,4/20/1991,Wyoming,DT,Mike Purcell
40463,3-Jun,263,7/2/1991,Pennsylvania,OLB,Brandon Copeland
40488,2-Jun,200,8/22/1990,Minn. State-Mankato,WR,Adam Thielen
40494,8-May,178,1/17/1992,Southern California,CB,Nickell Robey
40737,11-May,212,1/27/1992,Oklahoma,SS,Tony Jefferson
41069,2-Jun,300,6/5/1989,Iowa,C,James Ferentz
41227,5-Jun,255,2/14/1993,South Carolina,DE,Jadeveon Clowney
41230,1-Jun,211,6/14/1993,Clemson,WR,Sammy Watkins
41231,3-Jun,269,2/22/1991,Buffalo,OLB,Khalil Mack
41232,5-Jun,309,2/11/1992,Texas A&amp;M,T,Jake Matthews
41233,5-Jun,231,8/21/1993,Texas A&amp;M,WR,Mike Evans
41235,5-Jun,255,3/18/1992,UCLA,OLB,Anthony Barr
41237,7-Jun,309,7/22/1991,Michigan,T,Taylor Lewan
41239,1-Jun,280,5/23/1991,Pittsburgh,DT,Aaron Donald
41240,11-May,194,2/16/1992,Virginia Tech,CB,Kyle Fuller
41242,4-Jun,315,11/20/1990,Notre Dame,G,Zack Martin
41243,2-Jun,250,6/19/1992,Alabama,MLB,C.J. Mosley
41245,6-Jun,312,6/3/1992,Tennessee,T,Ja'Wuan James
41246,10-May,183,9/25/1993,Oregon State,WR,Brandin Cooks
41256,11-May,193,7/18/1991,Northern Illinois,FS,Jimmie Ward
41257,11-May,194,5/1/1992,Ohio State,CB,Bradley Roby
41258,2-Jun,215,11/10/1992,Louisville,QB,Teddy Bridgewater
41263,3-Jun,265,4/28/1992,Boise State,DE,Demarcus Lawrence
41264,4-Jun,320,10/11/1991,Nevada,G,Joel Bitonio
41265,3-Jun,210,3/28/1991,Fresno State,QB,Derek Carr
41269,3-Jun,250,3/26/1991,Brigham Young,OLB,Kyle Van Noy
41270,8-May,185,11/27/1990,Florida State,SS,Lamarcus Joyner
41279,3-Jun,252,1/17/1993,Georgia Tech,OLB,Jeremiah Attaochu
41282,1-Jun,215,12/24/1992,Fresno State,WR,Davante Adams
41290,2-Jun,220,8/24/1993,Penn State,WR,Allen Robinson
41291,2-Jun,225,11/2/1991,Eastern Illinois,QB,Jimmy Garoppolo
41292,11-May,196,11/28/1992,Louisiana State,WR,Jarvis Landry
41293,6-Jun,315,5/29/1991,Missouri,C,Justin Britt
41295,6-Jun,330,3/3/1991,Virginia,T,Morgan Moses
41296,5-Jun,310,10/17/1991,North Dakota State,T,Billy Turner
41300,2-Jun,235,8/31/1992,Iowa,OLB,Christian Kirksey
41310,3-Jun,336,7/12/1991,Mississippi State,G,Gabe Jackson
41321,3-Jun,315,6/14/1993,Louisiana State,G,Trai Turner
41324,6-Jun,301,11/15/1990,Michigan,G,Michael Schofield
41325,9-May,205,5/3/1992,Georgia Southern,RB,Jerick McKinnon
41327,4-Jun,257,1/22/1992,California,TE,Richard Rodgers
41336,2-Jun,350,12/27/1990,Louisiana Tech,DT,Justin Ellis
41341,4-Jun,322,12/27/1991,Penn State,DT,DaQuan Jones
41349,6-Jun,250,7/1/1991,Virginia Tech,TE,Logan Thomas
41358,2-Jun,200,12/1/1991,North Carolina State,CB,Dontae Johnson
41361,Jun-00,230,10/7/1991,Boston College,OLB,Kevin Pierre-Louis
41363,7-Jun,300,5/5/1991,Virginia,DE,Brent Urban
41369,6-Jun,320,9/3/1992,Stanford,T,Cameron Fleming
41390,3-Jun,301,7/27/1991,Ohio State,C,Corey Linsley
41403,3-Jun,256,6/24/1991,Southern California,OLB,Devon Kennard
41464,2-Jun,290,8/11/1991,Illinois State,DE,Shelby Harris
41475,3-Jun,305,10/9/1991,Boise State,T,Charles Leno
41483,11-May,190,5/17/1992,Oregon,CB,Terrance Mitchell
41500,11-May,205,10/17/1992,Ball State,WR,Willie Snead
41532,5-Jun,310,12/17/1991,North Carolina,T,James Hurst
41563,8-Jun,328,7/18/1991,Kansas State,T,Cornelius Lucas
41595,4-Jun,332,5/9/1991,Colorado State-Pueblo,DT,Mike Pennel
41599,1-Jun,232,5/6/1991,South Carolina State,MLB,Joe Thomas
41630,3-Jun,317,5/31/1992,Central Florida,C,Justin McCray
41665,3-Jun,310,5/5/1991,Clemson,G,Tyler Shatley
41667,6-Jun,306,2/14/1991,James Madison,T,Josh Wells
41707,4-Jun,325,7/8/1991,Utah State,C,Tyler Larsen
41712,11-May,224,4/3/1992,Oklahoma,RB,Damien Williams
41786,2-Jun,270,5/2/1991,Texas Tech,DE,Kerry Hyder
41808,Jun-00,240,4/8/1992,San Jose State,FB,Keith Smith
41915,2-Jun,250,11/17/1992,Colorado State,OLB,Shaquil Barrett
41939,6-Jun,325,10/25/1991,Ohio State,G,Andrew Norwell
41947,3-Jun,250,2/18/1991,Florida State,MLB,Christian Jones
41959,6-Jun,330,7/7/1992,Bloomsburg,G,Matt Feiler
42030,9-May,183,7/12/1991,Pittsburgh,CB,K'Waun Williams
42031,5-Jun,285,7/15/1990,Mississippi State,DE,Denico Autry
42033,5-Jun,245,7/3/1991,Harvard,TE,Cameron Brate
42116,11-May,210,3/28/1992,Texas,SS,Adrian Phillips
42302,6-Jun,255,4/10/1992,Canisius,TE,Chris Manhertz
42331,6-Jun,265,4/13/1992,No College,DE,Efe Obada
42344,4-Jun,231,1/6/1994,Florida State,QB,Jameis Winston
42345,4-Jun,222,10/30/1993,Oregon,QB,Marcus Mariota
42346,3-Jun,255,8/3/1994,Florida,OLB,Dante Fowler
42347,1-Jun,211,6/17/1994,Alabama,WR,Amari Cooper
42348,5-Jun,315,12/26/1991,Iowa,G,Brandon Scherff
42349,5-Jun,302,6/20/1994,Southern California,DT,Leonard Williams
42350,3-Jun,216,6/25/1992,West Virginia,WR,Kevin White
42356,7-Jun,316,11/4/1993,Stanford,G,Andrus Peat
42357,3-Jun,216,1/20/1993,Louisville,WR,DeVante Parker
42358,1-Jun,215,4/13/1993,Wisconsin,RB,Melvin Gordon
42360,7-Jun,292,11/15/1993,Oregon,DT,Arik Armstead
42361,Jun-00,197,1/9/1993,Washington,CB,Marcus Peters
42362,5-Jun,313,8/23/1992,Florida State,T,Cameron Erving
42363,Jun-00,198,5/24/1993,Southern California,WR,Nelson Agholor
42364,5-Jun,310,4/25/1992,Texas A&amp;M,T,Cedric Ogbuehi
42365,4-Jun,269,2/12/1993,Kentucky,OLB,Bud Dupree
42367,5-Jun,307,12/28/1993,Florida,T,D.J. Humphries
42368,Jun-00,230,4/21/1994,Washington,MLB,Shaq Thompson
42369,2-Jun,215,9/10/1993,Central Florida,WR,Breshad Perriman
